Animal Crossing Plaza | 7b9b09cb
Axiom Verge | 24e0a63b
BIOHAZARD REVELATIONS UE | 59d539a9
DKC: Tropical Freeze | 7fcf384a
DuckTales: Remastered | 1294a96c
FAST Racing NEO | 811aa39f
FotNS: Ken's Rage 2 | 9994e29c
Hyrule Warriors | 7fcc1f7c
Injustice: Gods Among Us | 65e9f4d6
Legend of Kay | 478232f3
MARIO & SONIC SOCHI 2014 | 585214a5
MARIO KART 8 | 25dbf96a
Mario & Sonic Rio 2016 | 63fecb0f
Mario Tennis: Ultra Smash | c69b92a0
Mighty No. 9 | bb980c2e
Minecraft: Wii U Edition | f1b61c8e
NINJA GAIDEN 3: Razor's Edge | f857b4bd
Nano Assault Neo | 7e484a8e
Nova-111 | bafe9856
OlliOlli | 60e5df12
PIKMIN 3 | f6accfc1
POKKÉN TOURNAMENT | 6ef3adf1
PUYOPUYOTETRIS | 4eb0ca36
Puddle | afcffb5c
RTK 12 | bfede098
Runner2 | 1084452a
SI2 | 44adeb87
SONIC LOST WORLD | 69a9fc95
Sonic Transformed | b26a3421
Splatoon | 6f599f81
Star Wars Pinball | ecd0e530
Super Mario Maker | 9f2b4678
Super Smash Bros. | 2869ba38
TEKKEN TAG 2 Wii U EDITION | 0f037f64
Terraria | 3d37fbdb
Trine 2 | f9c35adc
WARRIORS OROCHI 3 Hyper | d74bb27d
Wii Sports Club | 4d324052
XenobladeX | 59d7be84
Zen Pinball 2 | 2ff15f7e
役満 鳳凰 | 23aab2d3
